Clusters,Balance,Balance_frequency,Purchases,Oneoff_purchases,Installments_purchases,Cash_advance,Purchases_frequency,Oneoff_purchases_frequency,Purchases_installments_frequency,Cash_advance_frequency,Cash_advance_trx,Purchases_trx,Credit_limit,Payments,Minimum_payments,Prc_full_payment,Balance_used_rate,Payment_rate,Installments_rate,Cash_advance_rate
0,604.8504866033309,0.6262361445874338,232.33608629825892,120.64646479939441,112.26056775170325,199.48079950719153,0.19316720136260407,0.04698058364875095,0.1415221771385314,0.0920773497350492,1.5026495079485238,3.141559424678274,3154.8402648743377,787.7080062278577,339.59981871915215,0.19733707418622257,0.31108408753543587,191.1017876022255,0.33427598488534144,136.73457449661277
1,2635.1114475267227,0.8967108966244726,1.4317158931082983,0.9221167369901547,0.5566807313642756,2792.624775178622,0.004663492264416315,0.002026362869198312,0.0023831835443037974,0.3135047946554149,7.889592123769339,0.052742616033755275,4902.965307079466,2293.9040896976094,1110.2276523192686,0.05494590576652602,0.5548287718139063,2207.4060723060156,0.05850915217043784,2667.337680510031
2,2865.7192839845748,0.9845965429704715,2864.6344072278534,1830.7361877479066,1034.184248567651,1449.7046716311152,0.787622928162186,0.47028015513442045,0.5860011115028647,0.167880897311591,4.797708241516086,37.358307624504185,6670.948355302777,3547.2227631220803,1830.6195589863376,0.15795934993389157,0.47961659234547044,3.4187467338150928,0.40443428971718465,3.1900979766779014
3,1175.845057268566,0.9935749224661372,447.5321251751518,225.21078468005604,222.8339420831387,419.87544987762726,0.5513931177020084,0.17231418869687062,0.3982618052312004,0.09796432321345165,1.865950490425035,9.96450256889304,3270.317608594115,808.974318431107,479.53633158383934,0.02164710882765063,0.4838637839405636,3.866301391643339,0.4982121637880596,2.0785197054723135
4,176.831341587323,0.853573105192178,734.1020364126771,288.01543492919757,446.1668307484828,109.73702790087661,0.710722558327714,0.18698226365475387,0.5478609406608226,0.02039685704652731,0.3600809170600135,13.150370869858396,3894.191272127445,895.2100524814565,172.90582587929873,0.4262808671611598,0.07458898638150584,1.6719834248281182,0.6424355097727555,0.4008260173451148
